표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
KR7098120009,098120,(주)마이크로컨텍솔루션,마이크로컨텍솔,"Micro Contact Solution Co.,Ltd.",2008/09/23,KOSDAQ,주권,중견기업부,보통주,500,"8,312,766"
KR7009520008,009520,(주)포스코엠텍,포스코엠텍,"POSCO M-TECH CO.,LTD.",1997/11/10,KOSDAQ,주권,우량기업부,보통주,500,"41,642,703"
KR7058820002,058820,CMG제약,CMG제약,"CMG Pharmaceutical Co., Ltd.",2001/08/31,KOSDAQ,주권,중견기업부,보통주,500,"138,892,244"
KR7050120005,050120,ES큐브,ES큐브,ES CUBE,2002/04/25,KOSDAQ,주권,벤처기업부,보통주,"5,000","13,564,086"
KR7024850000,024850,HLB이노베이션,HLB이노베이션,HLB innoVation,2001/01/18,KOSDAQ,주권,중견기업부,보통주,500,"66,507,231"
KR7024120008,024120,KB오토시스,KB오토시스,"KB Autosys Co.,Ltd",1994/12/07,KOSDAQ,주권,중견기업부,보통주,500,"11,500,000"
KR7044180008,044180,KD,KD,KD Corporation,2000/11/16,KOSDAQ,주권,투자주의환기종목(소속부없음),보통주,500,"26,717,799"
KR7086960002,086960,MDS테크,MDS테크,MDS Tech,2006/09/26,KOSDAQ,주권,중견기업부,보통주,200,"87,578,536"
KR8392070007,950110,SBI핀테크솔루션즈,SBI핀테크솔루션즈,"SBI FinTech Solutions Co., Ltd.",2012/12/17,KOSDAQ,주식예탁증권,외국기업(소속부없음),보통주,무액면,"24,052,540"
KR7079940003,079940,가비아,가비아,"GABIA, Inc.",2005/10/19,KOSDAQ,주권,우량기업부,보통주,500,"13,535,684"
KR7078890001,078890,가온그룹,가온그룹,KAON Group,2005/07/12,KOSDAQ,주권,중견기업부,보통주,500,"16,971,649"
KR7399720002,399720,가온칩스,가온칩스,"GAONCHIPS CO., LTD.",2022/05/20,KOSDAQ,주권,벤처기업부,보통주,500,"11,488,320"
KR7036620003,036620,감성코퍼레이션,감성코퍼레이션,GAMSUNG Corporation,2000/01/11,KOSDAQ,주권,우량기업부,보통주,500,"90,688,576"
KR7217730001,217730,강스템바이오텍,강스템바이오텍,"KANGSTEM BIOTECH CO., LTD.",2015/12/21,KOSDAQ,주권,기술성장기업부,보통주,500,"55,937,925"
KR7114190002,114190,강원에너지,강원에너지,KANGWON ENERGY,2009/11/20,KOSDAQ,주권,중견기업부,보통주,500,"26,123,038"
